Reservoir,Year,Date,Depth,DRSI_mgL
FCR,2014,2014-04-21,9,3.577961
FCR,2014,2014-04-21,0.1,8.006448
FCR,2014,2014-04-21,999,12.462624
FCR,2014,2014-04-23,9,11.529128
FCR,2014,2014-04-28,9,5.385168
FCR,2014,2014-04-28,0.1,6.966983
FCR,2014,2014-04-28,999,7.184228
FCR,2014,2014-05-05,5,4.4683
FCR,2014,2014-05-05,9,5.613142
FCR,2014,2014-05-05,999,5.953112
FCR,2014,2014-05-05,0.1,6.171224
FCR,2014,2014-05-12,0.1,3.516666
FCR,2014,2014-05-12,9,3.616838
FCR,2014,2014-05-12,999,5.79386
FCR,2014,2014-05-19,9,3.183042
FCR,2014,2014-05-19,5,5.870708
FCR,2014,2014-05-19,0.1,11.105168
FCR,2014,2014-05-26,5,4.067612
FCR,2014,2014-05-26,9,5.613142
FCR,2014,2014-05-26,999,9.747719
FCR,2014,2014-05-26,0.1,13.875482
FCR,2014,2014-06-02,999,4.618558
FCR,2014,2014-06-02,9,4.868988
FCR,2014,2014-06-02,0.1,5.019246
FCR,2014,2014-06-09,9,4.017526
FCR,2014,2014-06-09,5,4.424032
FCR,2014,2014-06-09,0.1,6.9726
FCR,2014,2014-06-09,999,9.579216
FCR,2014,2014-06-16,9,3.767096
FCR,2014,2014-06-16,0.1,7.924234
FCR,2014,2014-06-16,999,9.49184
FCR,2014,2014-06-23,9,5.169504
FCR,2014,2014-06-23,0.1,7.824062
FCR,2014,2014-06-23,999,9.71028
FCR,2014,2014-06-29,999,2.676512
FCR,2014,2014-06-29,9,8.137512
FCR,2014,2014-06-29,0.1,8.443328
FCR,2014,2014-06-29,5,12.418936
FCR,2014,2014-06-30,9,5.865736
FCR,2014,2014-06-30,5,8.1812
FCR,2014,2014-06-30,999,8.923896
FCR,2014,2014-06-30,0.1,9.92872
FCR,2014,2014-07-07,0.1,7.089
FCR,2014,2014-07-07,999,7.176376
FCR,2014,2014-07-07,5,7.438504
FCR,2014,2014-07-07,9,9.885032
FCR,2014,2014-07-14,999,4.598784
FCR,2014,2014-07-14,9,5.472544
FCR,2014,2014-07-14,5,7.220064
FCR,2014,2014-07-14,0.1,7.74432
FCR,2014,2014-07-21,5,4.24928
FCR,2014,2014-07-21,999,4.729848
FCR,2014,2014-07-21,9,4.991976
FCR,2014,2014-07-21,0.1,8.61808
FCR,2014,2014-07-28,5,1.977504
FCR,2014,2014-07-28,9,3.987152
FCR,2014,2014-07-28,0.1,4.03084
FCR,2014,2014-07-28,999,7.263752
FCR,2014,2014-08-04,5,2.370696
FCR,2014,2014-08-04,0.1,4.511408
FCR,2014,2014-08-04,9,6.957936
FCR,2014,2014-08-04,999,8.443328
FCR,2014,2014-08-11,5,3.59396
FCR,2014,2014-08-11,9,6.258928
FCR,2014,2014-08-11,0.1,7.700632
FCR,2014,2014-08-11,999,9.400127
FCR,2014,2014-08-18,5,3.15708
FCR,2014,2014-08-18,9,5.55992
FCR,2014,2014-08-18,999,6.783184
FCR,2014,2014-08-18,0.1,7.045312
FCR,2014,2014-08-25,9,4.533839
FCR,2014,2014-08-25,5,5.315921
FCR,2014,2014-08-25,999,7.922861
FCR,2014,2014-08-25,0.1,8.270453
FCR,2014,2014-09-03,9,3.664859
FCR,2014,2014-09-03,5,3.708308
FCR,2014,2014-09-03,0.1,7.52588
FCR,2014,2014-09-03,999,11.181536
FCR,2014,2014-09-08,999,2.187593
FCR,2014,2014-09-08,9,2.578634
FCR,2014,2014-09-08,5,3.795206
FCR,2014,2014-09-08,0.1,6.402146
FCR,2014,2014-09-15,0.1,3.882104
FCR,2014,2014-09-15,5,4.577288
FCR,2014,2014-09-15,9,4.620737
FCR,2014,2014-09-15,999,5.620064
FCR,2014,2014-09-22,9,3.360716
FCR,2014,2014-09-22,5,5.315921
FCR,2014,2014-09-22,0.1,8.009759
FCR,2014,2014-09-22,999,9.139433
FCR,2014,2014-09-29,5,3.795206
FCR,2014,2014-09-29,9,4.446941
FCR,2014,2014-09-29,0.1,6.271799
FCR,2014,2014-09-29,999,10.877393
FCR,2014,2014-10-06,9,3.18692
FCR,2014,2014-10-06,5,4.837982
FCR,2014,2014-10-06,0.1,5.750411
FCR,2014,2014-10-06,999,6.098003
FCR,2014,2014-10-15,9,3.664859
FCR,2014,2014-10-15,5,4.360043
FCR,2014,2014-10-15,999,4.642472
FCR,2014,2014-10-15,0.1,5.533166
FCR,2014,2014-10-23,0.1,5.185574
FCR,2014,2014-10-23,5,5.750411
FCR,2014,2014-10-23,9,7.176376
FCR,2014,2014-10-23,999,9.098648
FCR,2014,2014-11-10,5,4.533839
FCR,2014,2014-11-10,0.1,5.446268
FCR,2014,2014-11-10,9,5.822048
FCR,2014,2014-11-10,999,8.880208