DateTime,Ksed_oxy,Rdom_minerl,Rdomr_minerl,Rcpom_bdown,Fsed_oxy,Fsed_oxy.1,RMSE
6/8/20 14:34,13.05820905,0.015569485,0.059533685,0.05350772,-43.77888021,-21.97248981,70.90091798
6/8/20 14:53,13.48279103,0.018487081,0.054049116,0.053772003,-44.48872904,-21.69402988,71.86592342
6/8/20 14:25,12.68211298,0.011023378,0.078948353,0.058729621,-36.91948087,-22.52270268,71.95442185
6/8/20 14:57,13.5700577,0.017399114,0.049521993,0.055391728,-45.88258394,-21.72882046,72.00230777
6/8/20 14:55,13.47049852,0.019305727,0.053371488,0.050418342,-43.97003635,-21.59254908,72.00285549
6/8/20 14:16,11.24001581,0.014856253,0.08764939,0.058937395,-40.52271872,-20.11520822,72.05728367
6/8/20 14:47,13.32633778,0.018940814,0.052445585,0.057218856,-45.89714461,-21.37140052,72.15099247
6/8/20 14:44,13.57874037,0.016820517,0.054880384,0.058987267,-44.52276482,-21.16350325,72.175002
6/8/20 14:57,13.44980748,0.018606529,0.053325797,0.050309796,-43.11208626,-21.69789563,72.23488251
6/8/20 14:44,13.1402133,0.013788064,0.057918315,0.059107602,-44.23240628,-19.31210857,72.298578
6/8/20 14:35,13.360284,0.016674326,0.050126297,0.055018409,-44.76930713,-21.60847579,72.39624969
6/8/20 14:42,13.09427695,0.017415365,0.055667644,0.058561091,-44.30178272,-19.47885211,72.45488973
6/8/20 14:50,13.05078567,0.018598506,0.05589242,0.053169084,-44.30230945,-20.88352088,72.52808547
6/8/20 15:02,13.57499102,0.018107817,0.05359805,0.054260952,-44.69466663,-21.53895116,72.55744892
6/8/20 14:34,13.63998096,0.008738534,0.06944327,0.059616706,-40.90875611,-18.98082808,72.56045924
6/8/20 14:38,13.60851553,0.017027807,0.050536895,0.057677695,-42.83473121,-20.82415606,72.56877513
6/8/20 15:00,13.48068677,0.02028917,0.051186521,0.054841024,-45.56867933,-22.10218456,72.56974447
6/8/20 14:30,12.07090539,0.01309781,0.068094085,0.051892979,-39.99257238,-18.71228128,72.6942201
6/8/20 14:24,11.59955526,0.005689644,0.077615081,0.056638143,-38.4595116,-16.74242269,72.71039977
6/8/20 14:46,13.16183633,0.017394578,0.052090835,0.059119913,-45.31104078,-20.08769805,72.72385437
6/8/20 14:55,13.49530028,0.017529676,0.052711513,0.053735564,-44.95358371,-21.83307955,72.72535885
6/8/20 14:29,12.64163831,0.015959913,0.060068041,0.052752011,-42.25115939,-19.75018492,72.7584597
6/8/20 14:46,13.68804478,0.019583618,0.052973602,0.058878746,-45.24694922,-21.7225252,72.77116025
6/8/20 14:58,13.42771265,0.017053509,0.05360621,0.058481356,-44.77663391,-21.27961799,72.77355783
6/8/20 14:57,13.22753431,0.017001343,0.056675634,0.052674806,-42.02448117,-21.64107397,72.78448116
6/8/20 15:00,13.85315123,0.016536445,0.051498886,0.057225147,-45.47211032,-21.75391424,72.79480907
6/8/20 14:56,13.68713674,0.017719556,0.054384775,0.056211247,-44.75372162,-21.20833071,72.82154671
6/8/20 14:37,13.37212959,0.016212859,0.054262917,0.053860125,-43.86588828,-20.76257164,72.82411884
6/8/20 14:46,13.35423557,0.014611893,0.055849182,0.054846009,-43.55091875,-19.92766795,72.82729396
6/8/20 14:40,13.33571417,0.016703891,0.053534796,0.057314515,-44.4844815,-21.04372047,72.9206575
6/8/20 14:55,13.64762137,0.017838639,0.052430134,0.057706095,-44.93753366,-21.19721075,72.94224656
6/8/20 14:43,12.98812417,0.017018175,0.055571574,0.060939305,-43.58455315,-19.44958576,72.96076854
6/8/20 15:08,13.62208535,0.018218704,0.054972334,0.055193767,-44.79777995,-21.35980468,72.99106469
6/8/20 15:06,13.68526648,0.019535166,0.05152035,0.055275322,-45.87473188,-21.27111062,73.00874915
6/8/20 14:35,12.79639557,0.014330166,0.061773595,0.056504176,-42.91417149,-18.86977347,73.03770538
6/8/20 15:00,13.50841667,0.017895367,0.055914171,0.050502354,-44.01478132,-21.48779625,73.04666686
6/8/20 14:31,12.10088763,0.020015942,0.066907434,0.050454545,-41.20409407,-21.7066452,73.06147688
6/8/20 14:32,13.20129929,0.012303999,0.066583041,0.061913795,-41.31628183,-17.32200884,73.13100541
6/8/20 14:40,12.94689283,0.017436461,0.057552448,0.053361197,-45.46650647,-20.36982775,73.14267135
6/8/20 14:45,13.20729013,0.015640613,0.057099255,0.057411492,-45.18391724,-20.10528783,73.14269919
6/8/20 14:33,11.48153225,0.016462162,0.060267844,0.038788829,-39.16489303,-21.3068095,73.16290278
6/8/20 14:42,13.18283698,0.015827753,0.053001496,0.05656981,-46.49061794,-20.65266271,73.16632813
6/8/20 14:41,13.25537114,0.018303182,0.048111357,0.058474911,-44.81272543,-21.65606486,73.22923123
6/8/20 14:12,12.98411145,0.010513961,0.083134773,0.088493672,-38.83642494,-19.47533177,73.24179301
6/8/20 15:04,13.65144646,0.01846304,0.051181269,0.054711589,-44.78253444,-21.85188664,73.24521733
6/8/20 15:08,13.62605777,0.019748466,0.052260515,0.0531297,-45.18174927,-21.84162599,73.25258939
6/8/20 14:37,13.1033558,0.01269022,0.057877008,0.051566344,-43.98036646,-18.85669197,73.26583316
6/8/20 14:44,13.30135429,0.016949633,0.053511446,0.059556455,-44.86607246,-20.21625787,73.28736184
6/8/20 14:48,13.4523936,0.018956272,0.051893101,0.058034189,-46.14869069,-21.24798365,73.28743375
6/8/20 14:33,13.11726563,0.024099561,0.056542256,0.049050963,-41.18445922,-23.95423602,73.29729614
6/8/20 15:05,13.77372527,0.017622181,0.054678087,0.055248721,-44.4412895,-21.49147178,73.3106468
6/8/20 14:36,12.99577829,0.016417049,0.058501341,0.053589473,-45.36283332,-20.43993216,73.40295477
6/8/20 15:05,13.48473753,0.017943514,0.05397586,0.053366718,-44.77811284,-21.47693275,73.46880004
6/8/20 14:42,13.02216561,0.016951164,0.054849043,0.059115573,-43.62982124,-19.40931995,73.50997701
6/8/20 15:04,13.63919235,0.019668266,0.053253314,0.054096401,-45.30876284,-22.19794528,73.51438769
6/8/20 14:46,13.88376266,0.017120759,0.051211949,0.05786788,-46.43828416,-21.6634193,73.53255283
6/8/20 14:35,13.04315732,0.014036234,0.064855099,0.053628914,-40.65631368,-18.17830615,73.54235752
6/8/20 14:46,13.6019162,0.016635815,0.053957991,0.06253597,-46.0414926,-19.71553984,73.5433637
6/8/20 15:05,13.72481328,0.019369364,0.052174956,0.054866204,-45.23439065,-22.4716724,73.54368496
6/8/20 15:02,13.62706881,0.018787627,0.051668432,0.053068371,-44.87381152,-21.92031813,73.55762179
6/8/20 15:03,13.65934225,0.019398222,0.050663143,0.056465736,-45.93039895,-21.99246697,73.56376391
6/8/20 14:29,12.69849214,0.003357827,0.07449923,0.070011717,-38.90164361,-17.17726338,73.58110998
6/8/20 14:34,13.1522009,0.014384674,0.064441614,0.061233048,-43.0804146,-19.82638804,73.60761308
6/8/20 15:03,13.7511117,0.018655067,0.051417954,0.055831969,-46.39812145,-21.38683819,73.60945159
6/8/20 14:28,11.74489813,0.005597657,0.077491666,0.063459829,-39.16364695,-14.26986883,73.64718358
6/8/20 14:52,13.42527352,0.018285357,0.055106094,0.053511022,-45.44850408,-21.82381736,73.65066843
6/8/20 14:32,12.91859637,0.018139172,0.06016841,0.064062345,-41.02062503,-20.67867611,73.66713818
6/8/20 14:07,11.12143494,0.029328783,0.084479791,0.073698819,-46.12214602,-22.49332368,73.6689543
6/8/20 14:42,12.43322482,0.015513273,0.062355342,0.054458334,-41.2178333,-18.63668007,73.6716547
6/8/20 14:54,13.46938779,0.017076026,0.055063894,0.05586716,-44.39842373,-20.46195126,73.71545976
6/8/20 14:28,11.69529216,0.009447415,0.080267637,0.062416353,-41.42189382,-15.119429,73.74055092
6/8/20 15:09,13.45755146,0.019260195,0.053256099,0.053648785,-44.73170437,-21.8223966,73.74370279
6/8/20 15:01,13.56230602,0.016906658,0.055300852,0.057388008,-44.53124792,-22.39561641,73.76366391
6/8/20 14:27,11.8845428,0.009906314,0.075096446,0.055738334,-39.20322823,-18.03444054,73.78063368
6/8/20 14:43,12.87003614,0.016885377,0.052522208,0.062681934,-42.69911743,-19.09632621,73.80450158
6/8/20 14:54,13.6810148,0.016214924,0.053921316,0.054288883,-44.40710772,-21.052337,73.82391792
6/8/20 14:47,13.30546263,0.017601095,0.054324801,0.057668787,-44.51015902,-20.43633464,73.8510826
6/8/20 14:56,13.47175721,0.019694193,0.056057924,0.047758648,-45.09279253,-21.91708225,73.86154689
6/8/20 14:21,15,0.014953062,0.052910684,0.062104783,-39.67172101,-20.75222825,73.86491572
6/8/20 14:52,13.07712929,0.020038477,0.053889671,0.055219433,-43.26408969,-21.30632896,73.89207929
6/8/20 14:31,12.84439337,0.014936281,0.056925762,0.052719131,-42.88735371,-21.47160768,73.9028442
6/8/20 14:32,11.80931864,0.014472956,0.062103812,0.055346714,-43.75039502,-19.73566221,73.90572888
6/8/20 14:14,12.38279272,0.003757826,0.072992433,0.077916354,-32.16225657,-15.63648178,73.94087776
6/8/20 14:57,13.21808981,0.016330278,0.055301984,0.052865833,-42.5391521,-20.42677694,73.96346112
6/8/20 14:49,13.18478897,0.016668427,0.055591463,0.055251877,-42.50544538,-20.7379209,73.99439564
6/8/20 14:20,13.95187453,0.016261383,0.065818825,0.077491949,-43.04673866,-17.72257522,74.01511855
6/8/20 14:46,13.25312968,0.018426721,0.053054184,0.056675043,-45.9514098,-21.08056082,74.05222225
6/8/20 15:07,13.77001459,0.019327267,0.050756438,0.055240841,-45.33808548,-21.98715533,74.07195307
6/8/20 14:15,10.17367895,0.001714267,0.088726729,0.07022052,-33.10855089,-16.44802564,74.10025416
6/8/20 15:01,13.64217243,0.017203902,0.050637944,0.054598257,-45.19456263,-21.40249362,74.10306445
6/8/20 14:20,12.87255267,0.002163045,0.064020193,0.068359954,-34.56848454,-12.4089218,74.11663996
6/8/20 15:03,13.61201429,0.018127138,0.053332322,0.056578284,-44.62423543,-21.55523985,74.12332796
6/8/20 14:47,13.55966918,0.018324976,0.054012169,0.059059675,-46.49712753,-22.30211764,74.15237902
6/8/20 14:35,12.54220319,0.007119741,0.068158183,0.050659078,-41.09184404,-19.38235551,74.1552431
6/8/20 15:02,13.86553707,0.019723804,0.050091642,0.054969756,-46.55279492,-21.95184506,74.16234203
6/8/20 14:45,13.63596319,0.016154836,0.051275739,0.060145484,-46.41539966,-19.92492905,74.16581323
6/8/20 14:47,12.86701159,0.017069814,0.057585952,0.05725528,-43.71709579,-21.30795728,74.18473405
6/8/20 14:43,13.77580309,0.019016418,0.050052565,0.06269009,-45.54538141,-20.36089797,74.20693779
6/8/20 15:00,13.21839662,0.015282756,0.0559946,0.054823908,-43.59450127,-20.64581859,74.22955495
6/8/20 14:37,13.26278367,0.018844314,0.051105604,0.050600773,-44.78969071,-21.77714761,74.25092215
6/8/20 14:59,13.52545417,0.017042551,0.053572566,0.052275077,-44.23497114,-21.88435488,74.26605156
6/8/20 14:39,13.54592222,0.013082635,0.057977007,0.052746235,-47.53767472,-20.12644703,74.26648689
6/8/20 15:05,13.45355266,0.019612586,0.051187608,0.053844779,-44.80948669,-22.22988465,74.27925496
6/8/20 14:17,11.83354388,1.00E-04,0.075553421,0.068211908,-32.06828577,-15.17066502,74.2846002
6/8/20 15:02,13.33707736,0.017401797,0.051627192,0.054166334,-43.71475644,-22.20470921,74.29621127
6/8/20 14:48,13.55793761,0.020201143,0.051103796,0.056390847,-46.5311315,-22.203801,74.2999622
6/8/20 14:04,4.816462229,1.00E-04,0.1,0.033291664,-32.77785563,-10.41227133,74.32124716
6/8/20 15:08,13.44827766,0.018174018,0.055317356,0.055188218,-44.62825157,-20.88586566,74.32958315
6/8/20 14:33,13.259567,0.012365581,0.065462775,0.057777572,-40.33118299,-20.03663622,74.33199792
6/8/20 14:37,12.54940962,0.016507419,0.053601204,0.060997903,-45.34168252,-20.34545564,74.3468499
6/8/20 15:07,13.60193215,0.018318205,0.052449499,0.053485573,-44.88241789,-21.60252947,74.38111756
6/8/20 14:29,13.78410307,0.002701574,0.072619618,0.060357876,-37.73196481,-17.24614838,74.4191406
6/8/20 14:37,12.34989535,0.009522711,0.061698031,0.058594634,-40.93893071,-18.22354371,74.4479723
6/8/20 14:48,13.9788366,0.018311062,0.051295821,0.059110899,-45.83222435,-20.84893651,74.45667397
6/8/20 14:43,13.77986037,0.016049305,0.053391384,0.059677795,-44.44062225,-20.1583163,74.46002141
6/8/20 14:42,13.25812285,0.015300002,0.058608707,0.060838765,-44.92613967,-18.92963876,74.47280034
6/8/20 15:03,13.68084438,0.018502652,0.051937618,0.05408862,-45.1395333,-21.79786766,74.47449749
6/8/20 14:59,13.46951809,0.017646263,0.055351514,0.054821525,-44.92299332,-20.8335233,74.51806719
6/8/20 14:44,13.31414932,0.013280028,0.056265186,0.059487843,-43.46924796,-19.62195112,74.53113288
6/8/20 14:55,13.37329461,0.017921055,0.050323797,0.050942702,-44.57498688,-21.89743114,74.53925211
6/8/20 14:53,13.38786592,0.018846951,0.052518555,0.051292228,-42.88162556,-21.37649536,74.54216149
6/8/20 15:04,13.83952794,0.018930907,0.051109871,0.055776066,-45.93255837,-21.97475864,74.5471902
6/8/20 14:47,13.56049504,0.019945748,0.04870389,0.054373075,-45.22629878,-21.06177868,74.55713136
6/8/20 14:54,13.041556,0.015981353,0.057729485,0.056202651,-44.98406266,-20.20365836,74.56784432
6/8/20 14:49,12.98181451,0.018073699,0.05215073,0.05387882,-45.01742963,-20.62378802,74.56882059
6/8/20 14:45,13.6134187,0.014807787,0.053518965,0.062262836,-44.83600112,-18.96071961,74.59129838
6/8/20 14:33,12.34658588,0.007989648,0.068846064,0.058730615,-37.66132201,-19.71125941,74.6000059
6/8/20 14:43,13.19121111,0.019137624,0.05108517,0.058356199,-46.05865567,-19.27832142,74.60140778
6/8/20 14:53,13.43492011,0.018882807,0.054876524,0.056477725,-45.66719447,-21.89450361,74.61517735
6/8/20 14:26,13.04521784,0.003132191,0.073683888,0.060445109,-37.44298955,-18.40308119,74.65061178
6/8/20 14:13,13.01959445,1.00E-04,0.069341027,0.081716313,-31.88391932,-16.23418017,74.65361289
6/8/20 14:40,13.29616516,0.013719165,0.053141237,0.05798322,-40.84633997,-20.24191715,74.67798751
6/8/20 14:45,13.47201789,0.014997142,0.05023536,0.05449102,-43.00054891,-21.11231061,74.70463386
6/8/20 14:09,10.77986763,0.004332842,0.074289923,0.07504878,-38.34196675,-15.51565302,74.7168468
6/8/20 14:51,13.61125478,0.020390711,0.05030958,0.056958299,-45.95142807,-21.42163427,74.72386245
6/8/20 15:09,13.53583584,0.019411995,0.053525972,0.054000523,-44.94890704,-21.32831547,74.74713946
6/8/20 14:49,13.58806167,0.020571082,0.051029159,0.053955346,-45.31236233,-22.38482499,74.74829576
6/8/20 14:44,12.79671239,0.01853181,0.052891862,0.059250911,-45.76635394,-20.36862136,74.75906853
6/8/20 14:40,13.640468,0.019745863,0.052304546,0.055714149,-45.96302988,-22.58508386,74.79836387
6/8/20 14:28,12.56673282,0.015198329,0.062909497,0.061677178,-45.49666542,-22.29467755,74.79890483
6/8/20 14:19,12.75054157,0.017384315,0.065991256,0.062728509,-43.47177935,-21.42618142,74.81391108
6/8/20 14:38,12.87449101,0.020122676,0.048608781,0.055438815,-45.49051615,-22.3831393,74.82078044
6/8/20 14:52,13.42751739,0.019800717,0.056216264,0.054537963,-45.8422143,-21.63301727,74.84078493
6/8/20 14:44,13.04652389,0.018568542,0.05532485,0.059978912,-43.09886579,-19.42537452,74.86579322
6/8/20 14:58,13.38332127,0.019154998,0.052575661,0.051432999,-44.53425603,-22.04785611,74.89631536
6/8/20 15:09,13.63587409,0.019096861,0.053036231,0.055611631,-44.99164077,-22.03401305,74.90403348
6/8/20 14:43,12.96074765,0.017096963,0.058652037,0.059082822,-44.95961148,-18.97114406,74.91262332
6/8/20 14:55,12.92315329,0.018924564,0.056392509,0.054882931,-45.55649013,-20.19576871,74.95210845
6/8/20 14:50,13.32410518,0.016988546,0.055523857,0.055126726,-45.65067116,-21.05736784,74.9779181
6/8/20 14:57,13.63180297,0.017104743,0.053727768,0.053247875,-45.58801029,-21.58073357,74.98399751
6/8/20 15:02,13.63539314,0.017346987,0.053545142,0.054262901,-44.5929089,-21.56031426,75.01989256
6/8/20 15:07,13.59200106,0.020869624,0.052435185,0.053972464,-45.20784577,-21.96132434,75.02951883
6/8/20 14:48,13.76564797,0.018854523,0.049034528,0.059673266,-45.42841844,-21.08347455,75.03191038
6/8/20 14:58,13.12465951,0.017702391,0.055085306,0.04983435,-43.25774242,-21.70618505,75.0394268
6/8/20 14:58,13.54431692,0.01843537,0.052017535,0.05305342,-44.91458936,-21.85229459,75.04340258
6/8/20 14:31,12.13243556,0.014410289,0.067357242,0.064773063,-39.52590544,-17.19141567,75.05689875
6/8/20 14:58,13.24818702,0.016413275,0.054493205,0.051178975,-44.30360945,-22.04479793,75.06246752
6/8/20 14:36,12.81101081,0.01639504,0.055942973,0.052750607,-43.6203316,-19.38261717,75.08050565
6/8/20 14:33,12.15573911,0.01244816,0.066630871,0.046850604,-38.99586412,-23.09288771,75.08594376
6/8/20 14:30,12.54060254,0.020140168,0.063415614,0.063463125,-44.85357816,-19.98981864,75.09680507
6/8/20 14:31,12.30506294,0.01441902,0.070321712,0.059242447,-39.12486705,-19.2957349,75.10943618
6/8/20 14:32,10.94300833,0.024892166,0.070022828,0.050398057,-41.53167613,-19.24557424,75.11519376
6/8/20 14:35,13.62013137,0.014107915,0.063209294,0.0584855,-41.46387985,-25.40414022,75.11523981
6/8/20 14:48,13.77901701,0.017589321,0.051484004,0.061724538,-46.01566043,-19.74570194,75.14227989
6/8/20 15:03,13.71170531,0.018298846,0.052914807,0.055192736,-44.91448297,-21.67756576,75.16266358
6/8/20 14:38,12.84519563,0.016783764,0.058337505,0.047577271,-41.10537743,-21.9865669,75.17213929
6/8/20 14:50,13.26861964,0.017412103,0.053221884,0.057865235,-45.35098231,-20.92779691,75.18517093
6/8/20 15:06,13.77343847,0.017885077,0.052358817,0.052178568,-45.78246137,-22.46631401,75.18628575
6/8/20 14:39,12.67677589,0.021954357,0.054628078,0.053771937,-43.90887025,-20.3898996,75.23075751
6/8/20 14:51,13.43689982,0.020129259,0.051115054,0.055108485,-45.81803095,-21.14296425,75.23137173
